الكلية, الحد الأدنى
طب القاهرة,410
طب أسنان القاهرة,410
طب الإسكندرية,410
طب أسنان الإسكندرية,410
طب بور سعيد,410
طب عين شمس,410
طب أسنان عين شمس,410
طب سوهاج,410
طب الفيوم,410
طب أسنان جنوب الوادي,410
طب أسيوط,410
طب طنطا,410
طب أسنان طنطا,410
طب أسنان كفر الشيخ,410
طب المنصورة,410
طب أسنان المنصورة,410
حاسبات و ذكاء إصطناعي القاهرة رياضة,410
طب الزقازيق,410
طب قناة السويس بالإسماعيلية,410
طب المنوفية بشبين الكوم,410
طب بنها,410
طب السويس,410
طب بني سويف,410
طب أسنان الزقازيق,410
طب المنيا,410
هندسة بترول و تعدين السويس,410
طب العريش,410
طب دمياط,410
طب الاقصر,410
طب أسنان أسيوط,410
طب أسوان,410
طب أسنان بني سويف,410
طب كفر الشيخ,410
طب فاقوس,409.935938
طب أسنان المنوفية,409.933871
طب حلوان,409.933871
طب جنوب الوادي,409.933868
طب الوادي الجديد,409.931671
طب أسنان السويس,409.931667
طب أسنان الفيوم,409.931667
طب أسنان المنيا,409.902381
طب أسنان قناة السويس بالإسماعيلية,409.902381
صيدلة جنوب الوادي,409.871875
علاج طبيعي القاهرة,409.871875
صيدلة القاهرة,409.867742
صيدلة سوهاج,409.863333
علاج طبيعي بنها,409.863333
علاج طبيعي كفر الشيخ,409.863333
علاج طبيعي بورسعيد,409.813636
علاج طبيعي قناة السويس,409.807812
علاج طبيعي السويس,409.807812
صيدلة الزقازيق,409.795
علاج طبيعي بني سويف,409.795
علاج طبيعي جنوب الوادي,409.765714
صيدلة عين شمس,409.74375
صيدلة حلوان,409.726667
صيدلة المنصورة,409.689394
صيدلة المنوفية,409.679688
صيدلة و تصنيع دوائي كفر الشيخ,409.658333
هندسة قناة السويس بالإسماعيلية,409.615625
صيدلة طنطا,409.603226
صيدلة بور سعيد,409.59
صيدلة الإسكندرية,409.568421
صيدلة الفيوم,409.537097
صيدلة قناة السويس بالإسماعيلية,409.470968
صيدلة دمنهور,409.453333
صيدلة بني سويف,409.385
صيدلة أسيوط,409.359375
حاسبات ومعلومات عين شمس رياضة,409.352632
هندسة القاهرة,409.23125
صيدلة مدينة السادات,409.206452
صيدلة المنيا,409.167188
صيدلة ج الوادي الجديد,409.140323
هندسة المنصورة,408.910938
هندسة عين شمس,408.809677
هندسة الطاقة أسوان,408.782812
هندسة حلوان,408.654688
علوم البترول والتعدين مطروح,408.223333
هندسة دمياط,407.95
هندسة السويس,407.95
هندسة حلوان بالمطرية,407.95
هندسة المنيا,407.95
تخطيط عمراني القاهرة,407.95
حاسبات ومعلومات قنا رياضة,407.95
حاسبات ومعلومات دمنهور بالنوبارية رياضة,407.95
الذكاء الاصطناعى كفر الشيخ رياضة,407.95
هندسة كفر الشيخ,407.95
هندسة بنها بشبرا,407.95
هندسة الزقازيق,407.95
حاسبات و ذكاء إصطناعي حلوان رياضة,407.95
هندسة الفيوم,407.95
هندسة طنطا,407.95
هندسة بور سعيد,407.95
حاسبات ومعلومات كفر الشيخ رياضة,407.95
هندسة أسيوط,407.95
حاسبات ومعلومات المنصورة رياضة,407.95
طب بيطري القاهرة,407.95
هندسة الإسكندرية,407.95
هندسة إلكترونية المنوفية بمنوف,407.95
كلية الهندسة جامعة دمنهور,407.95
حاسبات و علوم البيانات الإسكندرية رياضة,407.95
حاسبات ومعلومات دمياط رياضة,407.95
علوم البترول والتعدين مطروح - علوم,407.95
هندسة أسوان,407.885938
هندسة المنوفية بشبين الكوم,407.883871
حاسبات ومعلومات الأقصر رياضة,407.881667
حاسبات ومعلومات طنطا رياضة,407.881667
ذكاء إصطناعي المنوفية شبين الكوم رياضة,407.842105
هندسة بنها,407.842105
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,407.817742
هندسة بني سويف,407.813333
هندسة جنوب الوادي,407.745
هندسة سوهاج,407.676667
طب بيطري عين شمس,407.608333
حاسبات و ذكاء إصطناعي بنها رياضة,407.518421
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,407.471667
حاسبات ومعلومات الزقازيق رياضة,407.4375
حاسبات وذكاء اصطناعي السادات رياضة,407.354839
حاسبات وذكاء اصطناعي مطروح رياضة,407.28871
حاسبات و معلومات العريش رياضة,407.222581
حاسبات ومعلومات الفيوم رياضة,407.169037
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,407.024194
حاسبات ومعلومات سوهاج رياضة,406.693548
طب بيطري الزقازيق,406.56129
حاسبات ومعلومات أسيوط رياضة,406.388095
حاسبات ومعلومات السويس رياضة,406.173333
الملاحة وتكنولوجيا الفضاء بني سويف,406.164516
طب بيطري المنصورة,405.968333
حاسبات ومعلومات المنيا رياضة,405.9
طب بيطري كفر الشيخ,405.9
طب بيطري المنوفية,405.9
طب بيطري أسيوط,405.9
طب بيطري الإسكندرية,405.9
المعهد العالي للهندسة والتكنولوجيا بدمياط الجديدة,405.9
اقتصاد و علوم سياسية القاهرة,405.9
كلية تكنولوجيا الصناعة والطاقة 6 أكتوبر التكنولوجية,405.9
حاسبات ومعلومات بني سويف رياضة,405.9
طب بيطري بنها,405.421667
معهد عالي هندسة وتكنولوجيا العريش,405.148333
المعهد الكندى العالى للهندسة 6 اكتوبر,403.914062
طب بيطري أسوان,403.85
المعهد العالى للهندسة والتكنولوجيا الحديثة بالمرج,403.85
معهد المنصورة العالى للهندسة والتكنولوجيا,403.85
ألسن كفر الشيخ,403.85
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,403.85
طب بيطري دمنهور,403.85
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,403.785938
سياسة واقتصاد السويس,403.663636
طب بيطري العريش,403.651613
تكنولوجيا العلوم الصحية التطبيقية المنوفية,403.576667
كلية تكنولوجيا الصناعة والطاقة برج العرب التكنولوجية,403.254839
تمريض القاهرة,401.8
المعهد العالى للهندسة والتكنولوجيا بطنطا,401.8
علوم كفر الشيخ,401.8
طب بيطري المنيا,401.8
ألسن جنوب الوادي فرع الغردقة,401.8
معهد عالي هندسه 6 اكتوبر بمصروفات,401.8
