الكلية, الحد الأدنى
طب القاهرة,410
طب أسنان القاهرة,410
طب الإسكندرية,410
طب أسنان الإسكندرية,410
طب بور سعيد,410
طب عين شمس,410
طب أسنان عين شمس,410
طب سوهاج,410
طب الفيوم,410
طب أسيوط,410
طب طنطا,410
طب أسنان طنطا,410
علاج طبيعي السويس,410
طب أسنان كفر الشيخ,410
طب المنصورة,410
طب أسنان المنصورة,410
صيدلة المنصورة,410
طب الزقازيق,410
طب أسنان قناة السويس بالإسماعيلية,410
طب قناة السويس بالإسماعيلية,410
طب المنوفية بشبين الكوم,410
طب بنها,410
طب بني سويف,410
طب أسنان الزقازيق,410
طب المنيا,410
طب فاقوس,410
طب أسنان المنوفية,410
طب دمياط,410
طب الاقصر,410
طب جنوب الوادي,410
طب أسنان أسيوط,410
طب كفر الشيخ,410
طب حلوان,409.939706
طب السويس,409.937879
طب الوادي الجديد,409.935938
طب أسوان,409.935938
طب العريش,409.935938
طب أسنان السويس,409.933871
طب أسنان الفيوم,409.933871
صيدلة طنطا,409.933871
صيدلة القاهرة,409.933871
طب أسنان بني سويف,409.933868
علاج طبيعي كفر الشيخ,409.931667
طب أسنان جنوب الوادي,409.931667
طب أسنان المنيا,409.931667
علاج طبيعي القاهرة,409.906818
صيدلة المنوفية,409.906818
علاج طبيعي بورسعيد,409.879412
علاج طبيعي قناة السويس,409.875758
علاج طبيعي بنها,409.875758
صيدلة الزقازيق,409.871875
صيدلة عين شمس,409.871875
صيدلة أسيوط,409.867742
صيدلة جنوب الوادي,409.863333
علاج طبيعي بني سويف,409.863333
صيدلة و تصنيع دوائي كفر الشيخ,409.863333
صيدلة حلوان,409.813636
علاج طبيعي جنوب الوادي,409.813636
صيدلة بور سعيد,409.807812
صيدلة دمنهور,409.807812
صيدلة قناة السويس بالإسماعيلية,409.801613
صيدلة مدينة السادات,409.801613
صيدلة الإسكندرية,409.795
صيدلة الفيوم,409.784211
صيدلة المنيا,409.772222
صيدلة بني سويف,409.772217
صيدلة ج الوادي الجديد,409.751515
هندسة دمياط,409.726667
صيدلة سوهاج,409.726667
ألسن قناة السويس بالإسماعيلية,409.615625
هندسة الطاقة أسوان,409.565152
هندسة المنصورة,409.537097
طب بيطري عين شمس,409.453333
طب بيطري جنوب الوادي,409.248333
هندسة القاهرة,409.244751
حاسبات و معلومات العريش رياضة,409.18
حاسبات و ذكاء إصطناعي القاهرة رياضة,409.111667
هندسة طنطا,409.111667
كلية الهندسة جامعة دمنهور,408.148387
اقتصاد و علوم سياسية القاهرة,407.950012
طب بيطري القاهرة,407.95
حاسبات ومعلومات كفر الشيخ رياضة,407.95
هندسة عين شمس,407.95
حاسبات ومعلومات عين شمس رياضة,407.95
فنون جميلة (عمارة) المنصورة,407.95
طب بيطري المنوفية,407.95
هندسة الإسكندرية,407.95
تكنولوجيا العلوم الصحية التطبيقية المنوفية,407.95
هندسة بور سعيد,407.95
حاسبات ومعلومات المنصورة رياضة,407.95
هندسة الفيوم,407.95
طب بيطري المنصورة,407.95
هندسة الزقازيق,407.95
هندسة كفر الشيخ,407.95
حاسبات ومعلومات المنيا رياضة,407.95
هندسة بترول و تعدين السويس,407.95
حاسبات وذكاء اصطناعي السادات رياضة,407.95
هندسة المنيا,407.95
هندسة جنوب الوادي,407.95
هندسة بنها,407.95
طب بيطري كفر الشيخ,407.95
هندسة حلوان,407.95
هندسة المنوفية بشبين الكوم,407.95
هندسة بنها بشبرا,407.95
حاسبات ومعلومات دمنهور بالنوبارية رياضة,407.95
الذكاء الاصطناعى كفر الشيخ رياضة,407.95
تمريض بور سعيد,407.95
حاسبات و علوم البيانات الإسكندرية رياضة,407.887879
هندسة السويس,407.885938
هندسة حلوان بالمطرية,407.881667
هندسة أسوان,407.881667
حاسبات ومعلومات دمياط رياضة,407.881667
حاسبات ومعلومات سوهاج رياضة,407.881667
كلية تكنولوجيا الصناعة والطاقة ج القاهرة الجديدة التكنولوجية,407.813333
هندسة سوهاج,407.813333
حاسبات ومعلومات الزقازيق رياضة,407.813333
حاسبات و ذكاء إصطناعي حلوان رياضة,407.813333
طب بيطري سوهاج,407.813333
هندسة إلكترونية المنوفية بمنوف,407.813333
هندسة قناة السويس بالإسماعيلية,407.813333
معهد المستقبل العالى للهندسة والتكنولوجيا بالمنصورة,407.751613
هندسة أسيوط,407.745
تخطيط عمراني القاهرة,407.722222
حاسبات ومعلومات طنطا رياضة,407.69375
هندسة بني سويف,407.676667
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,407.676667
ذكاء إصطناعي المنوفية شبين الكوم رياضة,407.626316
معهد عالي هندسة وتكنولوجيا كفر الشيخ,407.608333
فنون جميلة (عمارة) حلوان,407.565625
حاسبات و ذكاء إصطناعي بنها رياضة,407.54
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,407.471667
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,407.28871
حاسبات وذكاء اصطناعي مطروح رياضة,407.222581
طب بيطري الزقازيق,407.198333
حاسبات ومعلومات أسيوط رياضة,407.13
حاسبات ومعلومات الفيوم رياضة,407.061667
طب بيطري الإسكندرية,406.891935
حاسبات ومعلومات بني سويف رياضة,406.788333
حاسبات ومعلومات الأقصر رياضة,406.759677
حاسبات ومعلومات السويس رياضة,406.72
طب بيطري بنها,406.241667
حاسبات ومعلومات قنا رياضة,406.036667
معهد عالي هندسه 6 اكتوبر بمصروفات,405.9
ألسن كفر الشيخ,405.9
طب بيطري أسيوط,405.9
إعلام القاهرة,405.9
إعلام بني سويف,405.9
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,405.9
سياسة واقتصاد السويس,405.9
طب بيطري دمنهور,405.9
فنون جميلة (عمارة) الإسكندرية,405.9
طب بيطري أسوان,405.9
سياسة واقتصاد بني سويف,405.833862
طب بيطري مدينة السادات,405.792105
تكنولوجيا العلوم الصحية التطبيقية بني سويف,405.775758
طب بيطري المنيا,405.763333
طب بيطري قناة السويس بالإسماعيلية,405.701613
طب بيطري مطروح,405.651515
طب بيطري بني سويف,405.635484
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,405.626667
