الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب الإسكندرية,410.0,جامعة,طب
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
طب بور سعيد,410.0,جامعة,طب
طب عين شمس,410.0,جامعة,طب
طب أسنان عين شمس,410.0,جامعة,طب أسنان
طب سوهاج,410.0,جامعة,طب
طب الفيوم,410.0,جامعة,طب
طب أسيوط,410.0,جامعة,طب
طب طنطا,410.0,جامعة,طب
طب أسنان طنطا,410.0,جامعة,طب أسنان
طب المنصورة,410.0,جامعة,طب
طب أسنان المنصورة,410.0,جامعة,طب أسنان
طب الزقازيق,410.0,جامعة,طب
طب قناة السويس بالإسماعيلية,410.0,جامعة,طب
طب المنوفية بشبين الكوم,410.0,جامعة,طب
طب بنها,410.0,جامعة,طب
طب بني سويف,410.0,جامعة,طب
طب أسنان الزقازيق,410.0,جامعة,طب أسنان
طب المنيا,410.0,جامعة,طب
طب أسنان المنوفية,410.0,جامعة,طب أسنان
طب دمياط,410.0,جامعة,طب
طب كفر الشيخ,410.0,جامعة,طب
طب حلوان,409.935938,جامعة,طب
طب أسنان الفيوم,409.933871,جامعة,طب أسنان
طب فاقوس,409.933871,جامعة,طب
طب السويس,409.931666,جامعة,طب
طب أسوان,409.8975,جامعة,طب
طب أسنان قناة السويس بالإسماعيلية,409.892106,جامعة,طب أسنان
طب الوادي الجديد,409.871875,جامعة,طب
طب أسنان كفر الشيخ,409.867742,جامعة,طب أسنان
طب جنوب الوادي,409.867742,جامعة,طب
طب أسنان بني سويف,409.863334,جامعة,طب أسنان
طب أسنان السويس,409.863334,جامعة,طب أسنان
طب أسنان المنيا,409.863334,جامعة,طب أسنان
طب أسنان أسيوط,409.801613,جامعة,طب أسنان
حاسبات و علوم البيانات الإسكندرية رياضة,409.795,جامعة,حاسبات ومعلومات
طب أسنان جنوب الوادي,409.795,جامعة,طب أسنان
علاج طبيعي كفر الشيخ,409.735484,جامعة,طب
علاج طبيعي بنها,409.679688,جامعة,طب
علاج طبيعي القاهرة,409.658334,جامعة,طب
علاج طبيعي السويس,409.615625,جامعة,طب
علاج طبيعي بني سويف,409.59,جامعة,طب
علاج طبيعي جنوب الوادي,409.568421,جامعة,طب
صيدلة الفيوم,409.537097,جامعة,صيدلة
صيدلة القاهرة,409.453334,جامعة,صيدلة
صيدلة سوهاج,409.404839,جامعة,صيدلة
صيدلة الزقازيق,409.316666,جامعة,صيدلة
صيدلة المنصورة,409.272581,جامعة,صيدلة
صيدلة حلوان,409.206451,جامعة,صيدلة
صيدلة قناة السويس بالإسماعيلية,409.18,جامعة,صيدلة
صيدلة عين شمس,409.18,جامعة,صيدلة
صيدلة طنطا,408.828571,جامعة,صيدلة
صيدلة المنوفية,408.77,جامعة,صيدلة
هندسة القاهرة,408.743549,جامعة,هندسة
صيدلة بني سويف,408.743549,جامعة,صيدلة
صيدلة و تصنيع دوائي كفر الشيخ,408.743549,جامعة,صيدلة
صيدلة بور سعيد,408.677419,جامعة,صيدلة
صيدلة أسيوط,408.677419,جامعة,صيدلة
صيدلة الإسكندرية,408.611291,جامعة,صيدلة
صيدلة مدينة السادات,408.496666,جامعة,صيدلة
صيدلة المنيا,408.018334,جامعة,صيدلة
حاسبات ومعلومات دمياط رياضة,407.95,جامعة,حاسبات ومعلومات
الذكاء الاصطناعى كفر الشيخ رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة دمياط,407.95,جامعة,هندسة
هندسة سوهاج,407.95,جامعة,هندسة
هندسة بترول و تعدين السويس,407.95,جامعة,هندسة بترول
هندسة الزقازيق,407.95,جامعة,هندسة
هندسة المنصورة,407.95,جامعة,هندسة
حاسبات و ذكاء إصطناعي القاهرة رياضة,407.95,جامعة,حاسبات ومعلومات
صيدلة دمنهور,407.95,جامعة,صيدلة
صيدلة جنوب الوادي,407.95,جامعة,صيدلة
هندسة عين شمس,407.95,جامعة,هندسة
اقتصاد و علوم سياسية القاهرة,407.883871,جامعة,علوم سياسية
هندسة طنطا,407.883871,جامعة,هندسة
هندسة كفر الشيخ,407.881666,جامعة,هندسة
الملاحة وتكنولوجيا الفضاء بني سويف,407.881666,جامعة,الملاحة والفضاء
هندسة حلوان,407.842106,جامعة,هندسة
هندسة بور سعيد,407.842106,جامعة,هندسة
هندسة الطاقة أسوان,407.817742,جامعة,هندسة
هندسة قناة السويس بالإسماعيلية,407.813334,جامعة,هندسة
هندسة بنها بشبرا,407.751613,جامعة,هندسة
هندسة أسيوط,407.745,جامعة,هندسة
هندسة جنوب الوادي,407.745,جامعة,هندسة
حاسبات ومعلومات عين شمس رياضة,407.734211,جامعة,حاسبات ومعلومات
هندسة أسوان,407.685484,جامعة,هندسة
هندسة حلوان بالمطرية,407.6425,جامعة,هندسة
طب بيطري القاهرة,407.608334,جامعة,طب بيطري
هندسة بنها,407.608334,جامعة,هندسة
هندسة المنوفية بشبين الكوم,407.59,جامعة,هندسة
تكنولوجيا العلوم الصحية التطبيقية المنوفية,407.565625,جامعة,طب
حاسبات ومعلومات المنيا رياضة,407.565625,جامعة,حاسبات ومعلومات
هندسة إلكترونية المنوفية بمنوف,407.559524,جامعة,هندسة
هندسة المنيا,407.553226,جامعة,هندسة
هندسة الإسكندرية,407.54,جامعة,هندسة
حاسبات و ذكاء إصطناعي حلوان رياضة,407.487097,جامعة,حاسبات ومعلومات
هندسة الفيوم,407.476923,جامعة,هندسة
هندسة السويس,407.471666,جامعة,هندسة
طب بيطري المنصورة,407.4375,جامعة,طب بيطري
هندسة بني سويف,407.410527,جامعة,هندسة
طب بيطري الإسكندرية,407.403334,جامعة,طب بيطري
علوم البترول والتعدين مطروح,407.354839,جامعة,هندسة بترول
طب بيطري المنوفية,407.335,جامعة,طب بيطري
حاسبات ومعلومات المنصورة رياضة,407.156451,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,407.156451,جامعة,حاسبات ومعلومات
ذكاء إصطناعي المنوفية شبين الكوم رياضة,407.13,جامعة,حاسبات ومعلومات
حاسبات ومعلومات طنطا رياضة,407.061666,جامعة,حاسبات ومعلومات
طب بيطري كفر الشيخ,407.061666,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي بنها رياضة,407.061666,جامعة,حاسبات ومعلومات
تخطيط عمراني القاهرة,406.958065,جامعة,تخطيط عمراني
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,406.891935,جامعة,تكنولوجيا
طب بيطري الزقازيق,406.856666,جامعة,طب بيطري
حاسبات ومعلومات كفر الشيخ رياضة,406.759677,جامعة,حاسبات ومعلومات
طب بيطري أسيوط,406.72,جامعة,طب بيطري
حاسبات ومعلومات الزقازيق رياضة,406.72,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الفيوم رياضة,406.378334,جامعة,حاسبات ومعلومات
تربية نوعية القاهرة,406.223684,جامعة,تربية
التكنولوجيا والتعليم الصناعي حلوان,406.173334,جامعة,تكنولوجيا
المعهد العالى للهندسة والتكنولوجيا بطنطا,406.105,معهد,هندسة
طب بيطري بنها,405.9,جامعة,طب بيطري
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,405.9,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس رياضة,405.9,جامعة,حاسبات ومعلومات
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,405.9,جامعة,علوم سياسية
طب بيطري جنوب الوادي,405.9,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,405.9,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي مطروح رياضة,405.9,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي السادات رياضة,405.9,جامعة,حاسبات ومعلومات
حاسبات ومعلومات دمنهور بالنوبارية رياضة,405.9,جامعة,حاسبات ومعلومات
حاسبات ومعلومات بني سويف رياضة,405.831666,جامعة,حاسبات ومعلومات
طب بيطري دمنهور,405.831666,جامعة,طب بيطري
ألسن قناة السويس بالإسماعيلية,405.771875,جامعة,ألسن
طب بيطري أسوان,405.707813,جامعة,طب بيطري
حاسبات ومعلومات أسيوط رياضة,405.695,جامعة,حاسبات ومعلومات
طب بيطري المنيا,405.695,جامعة,طب بيطري
معهد المنصورة العالى للهندسة والتكنولوجيا,405.64375,معهد,هندسة
حاسبات ومعلومات الأقصر رياضة,405.626666,جامعة,حاسبات ومعلومات
تكنولوجيا العلوم الصحية التطبيقية بني سويف,405.626666,جامعة,طب
حاسبات ومعلومات سوهاج رياضة,405.503226,جامعة,حاسبات ومعلومات
حاسبات و معلومات العريش رياضة,405.503226,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قنا رياضة,405.49,جامعة,حاسبات ومعلومات
المعهد العالى للهندسة والتكنولوجيا الحديثة بالمرج,405.216666,معهد,هندسة
سياسة واقتصاد السويس,405.08,جامعة,علوم سياسية
طب بيطري قناة السويس بالإسماعيلية,404.875,جامعة,طب بيطري
