الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
صيدلة القاهرة,410.0,جامعة,صيدلة
هندسة القاهرة,410.0,جامعة,هندسة
طب الإسكندرية,410.0,جامعة,طب
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
طب بور سعيد,410.0,جامعة,طب
طب عين شمس,410.0,جامعة,طب
طب أسنان عين شمس,410.0,جامعة,طب أسنان
طب سوهاج,410.0,جامعة,طب
طب الفيوم,410.0,جامعة,طب
طب أسيوط,410.0,جامعة,طب
طب طنطا,410.0,جامعة,طب
طب أسنان طنطا,410.0,جامعة,طب أسنان
طب المنصورة,410.0,جامعة,طب
طب أسنان المنصورة,410.0,جامعة,طب أسنان
طب أسنان قناة السويس بالإسماعيلية,410.0,جامعة,طب أسنان
طب الزقازيق,410.0,جامعة,طب
طب الوادي الجديد,410.0,جامعة,طب
طب قناة السويس بالإسماعيلية,410.0,جامعة,طب
طب المنوفية بشبين الكوم,410.0,جامعة,طب
طب بنها,410.0,جامعة,طب
طب بني سويف,410.0,جامعة,طب
طب أسنان الزقازيق,410.0,جامعة,طب أسنان
علاج طبيعي القاهرة,410.0,جامعة,طب
طب المنيا,410.0,جامعة,طب
طب أسنان السويس,410.0,جامعة,طب أسنان
طب فاقوس,410.0,جامعة,طب
طب أسنان المنوفية,410.0,جامعة,طب أسنان
طب العريش,410.0,جامعة,طب
طب دمياط,410.0,جامعة,طب
طب الاقصر,410.0,جامعة,طب
طب جنوب الوادي,410.0,جامعة,طب
طب أسنان أسيوط,410.0,جامعة,طب أسنان
طب أسنان الفيوم,410.0,جامعة,طب أسنان
طب كفر الشيخ,410.0,جامعة,طب
طب حلوان,409.937879,جامعة,طب
طب أسوان,409.933871,جامعة,طب
طب أسنان بني سويف,409.933871,جامعة,طب أسنان
طب السويس,409.933871,جامعة,طب
طب أسنان المنيا,409.931666,جامعة,طب أسنان
صيدلة حلوان,409.931666,جامعة,صيدلة
علاج طبيعي بنها,409.931666,جامعة,طب
طب أسنان كفر الشيخ,409.931666,جامعة,طب أسنان
طب أسنان جنوب الوادي,409.931666,جامعة,طب أسنان
صيدلة عين شمس,409.931666,جامعة,صيدلة
صيدلة المنوفية,409.931665,جامعة,صيدلة
صيدلة الفيوم,409.93,جامعة,صيدلة
صيدلة المنصورة,409.921154,جامعة,صيدلة
علاج طبيعي كفر الشيخ,409.8975,جامعة,طب
علاج طبيعي السويس,409.875758,جامعة,طب
صيدلة الزقازيق,409.871875,جامعة,صيدلة
صيدلة مدينة السادات,409.871875,جامعة,صيدلة
صيدلة أسيوط,409.871875,جامعة,صيدلة
صيدلة الإسكندرية,409.867742,جامعة,صيدلة
علاج طبيعي جنوب الوادي,409.867742,جامعة,طب
صيدلة دمنهور,409.863334,جامعة,صيدلة
صيدلة بور سعيد,409.863334,جامعة,صيدلة
صيدلة طنطا,409.863334,جامعة,صيدلة
علاج طبيعي بني سويف,409.863334,جامعة,طب
صيدلة قناة السويس بالإسماعيلية,409.863334,جامعة,صيدلة
صيدلة المنيا,409.848148,جامعة,صيدلة
صيدلة و تصنيع دوائي كفر الشيخ,409.819118,جامعة,صيدلة
صيدلة بني سويف,409.813636,جامعة,صيدلة
صيدلة ج الوادي الجديد,409.807813,جامعة,صيدلة
صيدلة جنوب الوادي,409.807813,جامعة,صيدلة
صيدلة سوهاج,409.801613,جامعة,صيدلة
طب بيطري المنوفية,409.795,جامعة,طب بيطري
تكنولوجيا العلوم الصحية التطبيقية بني سويف,409.795,جامعة,طب
هندسة بترول و تعدين السويس,409.795,جامعة,هندسة بترول
حاسبات ومعلومات كفر الشيخ رياضة,409.751515,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنيا رياضة,409.74375,جامعة,حاسبات ومعلومات
هندسة دمياط,409.74375,جامعة,هندسة
طب بيطري المنيا,409.726666,جامعة,طب بيطري
تكنولوجيا العلوم الصحية التطبيقية المنوفية,409.726665,جامعة,طب
هندسة المنصورة,409.669355,جامعة,هندسة
هندسة كفر الشيخ,409.658334,جامعة,هندسة
هندسة عين شمس,409.658334,جامعة,هندسة
طب بيطري القاهرة,409.658334,جامعة,طب بيطري
هندسة بنها بشبرا,409.658334,جامعة,هندسة
هندسة إلكترونية المنوفية بمنوف,409.615625,جامعة,هندسة
هندسة حلوان,409.603226,جامعة,هندسة
حاسبات و ذكاء إصطناعي القاهرة رياضة,409.59,جامعة,حاسبات ومعلومات
طب بيطري الإسكندرية,409.565151,جامعة,طب بيطري
طب بيطري عين شمس,409.544445,جامعة,طب بيطري
هندسة المنوفية بشبين الكوم,409.521666,جامعة,هندسة
تخطيط عمراني القاهرة,409.521666,جامعة,تخطيط عمراني
هندسة الطاقة أسوان,409.470967,جامعة,هندسة
حاسبات ومعلومات دمياط رياضة,409.470967,جامعة,حاسبات ومعلومات
هندسة طنطا,409.470967,جامعة,هندسة
هندسة المنيا,409.385,جامعة,هندسة
هندسة حلوان بالمطرية,409.316666,جامعة,هندسة
هندسة أسيوط,409.18,جامعة,هندسة
طب بيطري المنصورة,409.140323,جامعة,طب بيطري
الذكاء الاصطناعى كفر الشيخ رياضة,409.111666,جامعة,حاسبات ومعلومات
هندسة بنها,408.906666,جامعة,هندسة
حاسبات ومعلومات سوهاج رياضة,408.701666,جامعة,حاسبات ومعلومات
هندسة الزقازيق,408.633334,جامعة,هندسة
هندسة قناة السويس بالإسماعيلية,408.223334,جامعة,هندسة
هندسة بور سعيد,408.214516,جامعة,هندسة
هندسة الفيوم,408.155,جامعة,هندسة
طب بيطري الزقازيق,407.95,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي حلوان رياضة,407.95,جامعة,حاسبات ومعلومات
تربية (طفولة) عين شمس,407.95,جامعة,تربية
حاسبات ومعلومات أسيوط رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة بني سويف,407.95,جامعة,هندسة
طب بيطري أسيوط,407.95,جامعة,طب بيطري
حاسبات ومعلومات المنصورة رياضة,407.95,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي بنها رياضة,407.95,جامعة,حاسبات ومعلومات
ألسن سوهاج,407.95,جامعة,ألسن
حاسبات ومعلومات عين شمس رياضة,407.95,جامعة,حاسبات ومعلومات
فنون جميلة (عمارة) المنصورة,407.95,جامعة,فنون جميلة
طب بيطري دمنهور,407.95,جامعة,طب بيطري
هندسة الإسكندرية,407.95,جامعة,هندسة
اقتصاد و علوم سياسية القاهرة,407.95,جامعة,علوم سياسية
فنون جميلة (عمارة) حلوان,407.95,جامعة,فنون جميلة
ذكاء إصطناعي المنوفية شبين الكوم رياضة,407.95,جامعة,حاسبات ومعلومات
ألسن الفيوم,407.95,جامعة,ألسن
كلية الهندسة جامعة دمنهور,407.95,جامعة,هندسة
حاسبات و علوم البيانات الإسكندرية رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة السويس,407.95,جامعة,هندسة
طب بيطري بنها,407.95,جامعة,طب بيطري
معهد فني صحى الزقازيق,407.95,معهد,تمريض
حاسبات ومعلومات الزقازيق رياضة,407.95,جامعة,حاسبات ومعلومات
طب بيطري كفر الشيخ,407.95,جامعة,طب بيطري
هندسة أسوان,407.95,جامعة,هندسة
هندسة جنوب الوادي,407.95,جامعة,هندسة
هندسة سوهاج,407.885938,جامعة,هندسة
طب بيطري مدينة السادات,407.881666,جامعة,طب بيطري
طب بيطري أسوان,407.881666,جامعة,طب بيطري
حاسبات ومعلومات طنطا رياضة,407.881666,جامعة,حاسبات ومعلومات
الملاحة وتكنولوجيا الفضاء بني سويف,407.881666,جامعة,الملاحة والفضاء
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,407.825758,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الفيوم رياضة,407.813334,جامعة,حاسبات ومعلومات
علوم البترول والتعدين مطروح,407.813334,جامعة,هندسة بترول
طب بيطري جنوب الوادي,407.813334,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,407.745,جامعة,حاسبات ومعلومات
تربية نوعية فنية بور سعيد,407.745,جامعة,تربية
حاسبات وذكاء اصطناعي السادات رياضة,407.722222,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي مطروح رياضة,407.704,جامعة,حاسبات ومعلومات
حاسبات ومعلومات بني سويف رياضة,407.69375,جامعة,حاسبات ومعلومات
طب بيطري مطروح,407.676666,جامعة,طب بيطري
حاسبات و معلومات العريش رياضة,407.676666,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الأقصر رياضة,407.676666,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس رياضة,407.676666,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,407.676666,جامعة,حاسبات ومعلومات
معهد عالي تكنولوجيا 10 رمضان فرع 6 اكتوبر هندسة بمصروفات,407.626316,معهد,هندسة
حاسبات ومعلومات قنا رياضة,407.608334,جامعة,حاسبات ومعلومات
